,base1,bass.mp3,drums.mp3,other.mp3,vocals.mp3
74,1.0,0.0,0.0024885828554548,0.0,0.8345706716971659
75,1.0,0.0,0.0024490317043592,0.0,0.8317155283286015
76,1.0,0.0,0.0025181622165041,0.0,0.82660180885088
77,1.0,0.0,0.0026591812173924,0.0,0.820263202280112
78,1.0,0.0,0.0027457535620221,0.0,0.8128895814777043
79,1.0,0.0,0.002781991203088,0.0,0.804890673618585
80,1.0,0.0,0.0028705330213893,0.0,0.7965017940752269
81,1.0,0.0,0.0030175106791716,0.0,0.7885345676480925
82,1.0,0.0,0.0032463925123383,0.0,0.7809630011509574
83,1.0,0.0,0.003360116725905,0.0,0.7738394934019027
84,1.0,0.0,0.0033894965903537,0.0,0.768472556985563
85,1.0,0.0,0.0033530741257465,0.0,0.7640065939453493
86,1.0,0.0,0.0033339811382924,0.0,0.7596153982551959
87,1.0,0.0,0.0032414367985553,0.0,0.7551903854836952
88,1.0,0.0,0.0032040783489601,0.0,0.7513011472808877
89,1.0,0.0,0.003256720316543,0.0,0.7484333701227552
90,1.0,0.0,0.0033049567108727,0.0,0.7457776199065843
91,1.0,0.0,0.0033131344155194,0.0,0.7430053662610085
92,1.0,0.0,0.0032161414569909,0.0,0.7397546395634892
93,1.0,0.0,0.0031910098859596,0.0,0.7355698950257121
94,1.0,0.0,0.003178427667718,0.0,0.7307678913960439
95,1.0,0.0,0.0031830748746002,0.0,0.7291087726459133
96,1.0,0.0,0.0031639608117085,0.0,0.7315095811305814
97,1.0,0.0,0.0030999482606016,0.0,0.7350398778687877
98,1.0,0.0,0.003061245007386,0.0,0.7366323481777274
99,1.0,0.0,0.0030431635479888,0.0,0.7384358962270487
100,1.0,0.0,0.0030015875602945,0.0,0.7429086120165116
101,1.0,0.0,0.002917645216132,0.0,0.7511376998342677
102,1.0,0.0,0.0028651762994504,0.0,0.7628547305218967
103,1.0,0.0,0.00289197280955,0.0,0.7772390022408227
104,1.0,0.0,0.0028927389937222,0.0,0.7923035284715745
105,1.0,0.0,0.002823147279907,0.0,0.8052729363908295
